Num of Spin	LeftCredit	Line	BetPerLine	TotalAmount	TotalHit	TotalCoinIn	TotalCoinOut	Hit Rate	PayBack	BaseGame Hit	BaseGame TotalWin	BaseGame Hit Rate	BaseGame PayBack	BaseGame TopAward	BaseGame TopAward ReelsStop	BaseGame TopAward Type	Freespin Total Hit	Freespin Total Win	FreeSpin Total Hit Rate	FreeSpin Total PayBack	Feespin Total Times	Freespin TopAward	FS TopAward ReelsStop	FS TopAward Type	screen Max Award	screen Max Award Hit	Bonus Total Hit	Bonus Total Win	Bonus Total Hit Rate	Bonus Total Payback	Base Mystery Mul1 Hit	Base Mystery Mul2 Hit	Base Mystery Mul3 Hit	Base Mystery Mul4 Hit	Base Mystery Mul5 Hit	Base Mystery Mul6 Hit	Base Mystery Mul7 Hit	Base Mystery Mul8 Hit	Fs Inc Mul1 Times	Fs Inc Mul2 Times	Fs Inc Mul3 Times	Fs Inc Mul4 Times	Fs Inc Mul5 Times	Fs Inc Mul6 Times	Fs Inc Mul7 Times	Fs Inc Mul1 Hit	Fs Inc Mul2 Hit	Fs Inc Mul3 Hit	Fs Inc Mul4 Hit	Fs Inc Mul5 Hit	Fs Inc Mul6 Hit	Fs Inc Mul7 Hit	Fs Inc Mul1 Win	Fs Inc Mul2 Win	Fs Inc Mul3 Win	Fs Inc Mul4 Win	Fs Inc Mul5 Win	Fs Inc Mul6 Win	Fs Inc Mul7 Win	Pay6	Pay6Hit	Pay6PayOut	Pay10	Pay10Hit	Pay10PayOut	Pay20	Pay20Hit	Pay20PayOut	Pay30	Pay30Hit	Pay30PayOut	Pay40	Pay40Hit	Pay40PayOut	Pay50	Pay50Hit	Pay50PayOut	Pay60	Pay60Hit	Pay60PayOut	Pay80	Pay80Hit	Pay80PayOut	Pay100	Pay100Hit	Pay100PayOut	Pay120	Pay120Hit	Pay120PayOut	Pay160	Pay160Hit	Pay160PayOut	Pay200	Pay200Hit	Pay200PayOut	Pay400	Pay400Hit	Pay400PayOut	Pay500	Pay500Hit	Pay500PayOut	Pay1000	Pay1000Hit	Pay1000PayOut	
587000	9998149312	88	1	0.0	127998	51656000	4.9805312E7	0.21805451448040886	0.9641728356822054	128007	32239950	0.21806984667802384	0.6241278844664705	14420	45 18 35 0 93	Base Normal	1762	9079434	0.003001703577512777	0.17576726808115223	16192	20510	70 94 70 57 3	FS	38940.0	1	1701	8485928	0.00289778534923339	0.16427768313458263	380236	86607	35409	23653	20325	17392	14603	8775	3700	3394	3075	2255	1469	785	1514	1692	1628	1433	1068	653	371	714	991392	1342536	1618176	1508240	1185120	728658	1705312	6	35515	409920	10	104532	2023380	20	136881	5279980	30	33942	1954260	40	116114	8949520	50	30031	2913150	60	4128	484380	80	9960	1544560	100	35109	6701100	120	732	173160	160	1847	563040	200	2782	1065800	400	231	177200	500	1	500	1000	0	0	
588000	9998120144	88	1	0.0	128203	51744000	4.9864144E7	0.21803231292517006	0.9636700680272109	128212	32289672	0.21804761904761905	0.6240273654916512	14420	45 18 35 0 93	Base Normal	1763	9081504	0.002998299319727891	0.17550834879406307	16200	20510	70 94 70 57 3	FS	38940.0	1	1703	8492968	0.0028962585034013606	0.1641343537414966	380876	86755	35473	23696	20358	17420	14631	8791	3702	3396	3079	2255	1469	785	1514	1693	1629	1434	1068	653	371	714	991432	1343886	1618856	1508240	1185120	728658	1705312	6	35583	410382	10	104641	2025590	20	137186	5291600	30	34002	1959180	40	116283	8960800	50	30105	2920300	60	4134	485040	80	9972	1545920	100	35138	6709600	120	734	173520	160	1852	563840	200	2783	1066200	400	231	177200	500	1	500	1000	0	0	
589000	9998101598	88	1	0.0	128423	51832000	4.9933598E7	0.21803565365025468	0.9633739388794567	128432	32342612	0.2180509337860781	0.6239892730359623	14420	45 18 35 0 93	Base Normal	1765	9087018	0.00299660441426146	0.17531675412872358	16216	20510	70 94 70 57 3	FS	38940.0	1	1705	8503968	0.0028947368421052633	0.1640679117147708	381513	86894	35530	23740	20393	17459	14656	8815	3706	3404	3080	2258	1469	785	1514	1695	1630	1435	1069	653	371	714	991556	1344126	1619656	1512590	1185120	728658	1705312	6	35646	411252	10	104831	2028470	20	137445	5301580	30	34051	1963500	40	116492	8977440	50	30187	2926450	60	4152	488040	80	9992	1548240	100	35180	6715100	120	736	173880	160	1854	564160	200	2786	1066800	400	231	177200	500	1	500	1000	0	0	
590000	9998123320	88	1	0.0	128654	51920000	5.004332E7	0.21805762711864407	0.9638543913713405	128663	32398714	0.2180728813559322	0.6240122110939907	14420	45 18 35 0 93	Base Normal	1769	9093910	0.0029983050847457626	0.1751523497688752	16248	20510	70 94 70 57 3	FS	38940.0	1	1710	8550696	0.002898305084745763	0.16468983050847458	382138	87034	35592	23788	20430	17500	14685	8833	3715	3417	3087	2261	1469	785	1514	1699	1633	1437	1069	653	371	714	995188	1346226	1620816	1512590	1185120	728658	1705312	6	35697	412134	10	104965	2030940	20	137664	5312400	30	34102	1966200	40	116686	8990240	50	30240	2932800	60	4158	488640	80	10009	1550320	100	35256	6729100	120	739	174720	160	1855	564320	200	2795	1069200	400	231	177200	500	1	500	1000	0	0	
591000	9998119334	88	1	0.0	128859	52008000	5.0127334E7	0.21803553299492387	0.9638389093985541	128868	32448596	0.2180507614213198	0.6239154745423781	14420	45 18 35 0 93	Base Normal	1770	9095746	0.00299492385786802	0.17489128595600678	16256	20510	70 94 70 57 3	FS	38940.0	1	1713	8582992	0.002898477157360406	0.1650321489001692	382779	87187	35645	23828	20475	17534	14702	8850	3716	3420	3090	2262	1469	785	1514	1700	1634	1438	1069	653	371	714	995904	1346466	1621696	1512590	1185120	728658	1705312	6	35717	412326	10	105132	2034890	20	137850	5318420	30	34160	1969740	40	116854	9003080	50	30315	2939900	60	4161	488820	80	10026	1553040	100	35327	6738000	120	742	175680	160	1858	564800	200	2803	1071400	400	232	178000	500	1	500	1000	0	0	
592000	9998079764	88	1	0.0	129057	52096000	5.0175764E7	0.2180016891891892	0.9631404330466831	129066	32484922	0.21801689189189188	0.6235588528869779	14420	45 18 35 0 93	Base Normal	1771	9096410	0.002991554054054054	0.17460860718673218	16264	20510	70 94 70 57 3	FS	38940.0	1	1715	8594432	0.0028969594594594594	0.16497297297297298	383442	87334	35700	23876	20509	17562	14720	8857	3718	3421	3093	2264	1469	785	1514	1701	1635	1439	1069	653	371	714	995984	1346826	1621920	1512590	1185120	728658	1705312	6	35774	412932	10	105371	2038790	20	138053	5326680	30	34219	1972500	40	116998	9011560	50	30349	2942500	60	4163	489000	80	10036	1553840	100	35387	6746300	120	743	175800	160	1860	565120	200	2803	1071400	400	232	178000	500	1	500	1000	0	0	
593000	9998099138	88	1	240.0	129271	52184000	5.0283138E7	0.21799494097807756	0.9635738540548827	129280	32540604	0.21801011804384485	0.6235743522918903	14420	45 18 35 0 93	Base Normal	1775	9140710	0.002993254637436762	0.175163076805151	16320	20510	70 94 70 57 3	FS	38940.0	1	1717	8601824	0.0028954468802698144	0.16483642495784148	384079	87489	35753	23914	20548	17595	14754	8868	3722	3429	3098	2272	1473	792	1534	1705	1639	1443	1071	656	373	723	997004	1349376	1628280	1519650	1187328	736848	1722224	6	35835	413514	10	105515	2041130	20	138271	5333880	30	34266	1975530	40	117215	9026960	50	30416	2947350	60	4165	489120	80	10049	1555760	100	35458	6761900	120	743	175800	160	1863	565760	200	2811	1074200	400	233	179200	500	1	500	1000	0	0	
594000	9998102690	88	1	0.0	129455	52272000	5.037469E7	0.21793771043771043	0.9637031297826752	129464	32597380	0.21795286195286195	0.6236107284970921	14420	45 18 35 0 93	Base Normal	1777	9166686	0.0029915824915824917	0.17536512855831038	16360	20510	70 94 70 57 3	FS	38940.0	1	1719	8610624	0.002893939393939394	0.16472727272727272	384728	87645	35801	23947	20591	17620	14787	8881	3724	3431	3104	2277	1477	795	1552	1706	1641	1444	1072	658	375	731	998064	1350234	1628928	1519800	1192428	740768	1736464	6	35876	414180	10	105635	2043580	20	138464	5341580	30	34303	1978980	40	117399	9040800	50	30475	2956500	60	4171	489600	80	10069	1559200	100	35530	6775300	120	743	175800	160	1866	567360	200	2814	1074800	400	233	179200	500	1	500	1000	0	0	
595000	9998120442	88	1	0.0	129680	52360000	5.0480442E7	0.21794957983193278	0.9641031703590527	129689	32653520	0.21796470588235295	0.6236348357524828	14420	45 18 35 0 93	Base Normal	1780	9187258	0.0029915966386554623	0.17546329258976318	16384	20510	70 94 70 57 3	FS	38940.0	1	1725	8639664	0.0028991596638655464	0.1650050420168067	385375	87796	35862	23989	20627	17652	14809	8890	3728	3436	3111	2280	1479	797	1553	1709	1644	1447	1074	659	376	732	1000552	1353204	1633496	1521750	1193004	748468	1736784	6	35941	414870	10	105777	2046600	20	138704	5349840	30	34366	1983480	40	117617	9057400	50	30541	2962950	60	4176	490320	80	10084	1562000	100	35591	6786800	120	744	175920	160	1868	567840	200	2816	1075800	400	233	179200	500	1	500	1000	0	0	
596000	9998127864	88	1	0.0	129902	52448000	5.0575864E7	0.2179563758389262	0.9643049115314216	129911	32708406	0.21797147651006712	0.6236349527150702	14420	45 18 35 0 93	Base Normal	1784	9197082	0.002993288590604027	0.1753562004270897	16416	20510	70 94 70 57 3	FS	38940.0	1	1729	8670376	0.002901006711409396	0.16531375838926174	386027	87946	35924	24023	20671	17680	14825	8904	3744	3442	3120	2281	1479	797	1553	1713	1647	1449	1075	659	376	732	1005576	1356054	1635296	1521900	1193004	748468	1736784	6	35992	415506	10	105962	2050060	20	138957	5358780	30	34422	1986810	40	117844	9074720	50	30602	2968750	60	4181	491160	80	10100	1565600	100	35649	6796800	120	744	175920	160	1872	568800	200	2816	1075800	400	233	179200	500	1	500	1000	0	0	
597000	9998159822	88	1	0.0	130120	52536000	5.0695822E7	0.2179564489112228	0.9649730089843155	130129	32767930	0.2179715242881072	0.6237233516065175	14420	45 18 35 0 93	Base Normal	1789	9219676	0.002996649916247906	0.17549253844982488	16464	20510	70 94 70 57 3	FS	38940.0	1	1732	8708216	0.002901172529313233	0.1657571189279732	386696	88075	35974	24065	20723	17708	14844	8915	3754	3455	3125	2290	1481	803	1556	1717	1652	1454	1079	661	378	733	1010280	1359654	1638016	1527000	1194024	753438	1737264	6	36071	416580	10	106181	2054230	20	139220	5368460	30	34484	1992090	40	118040	9089880	50	30637	2973050	60	4189	492000	80	10116	1567760	100	35717	6808700	120	745	176040	160	1875	569440	200	2819	1078000	400	234	181200	500	1	500	1000	0	0	
598000	9998164374	88	1	0.0	130339	52624000	5.0788374E7	0.2179581939799331	0.9651180830039525	130348	32825790	0.21797324414715719	0.6237798342961386	14420	45 18 35 0 93	Base Normal	1794	9250408	0.003	0.17578306476132563	16512	20510	70 94 70 57 3	FS	38940.0	1	1733	8712176	0.0028979933110367894	0.1655551839464883	387361	88213	36015	24113	20762	17732	14867	8937	3765	3470	3129	2295	1483	806	1564	1722	1657	1456	1082	663	379	738	1011340	1366614	1638248	1535200	1198344	757638	1743024	6	36134	417270	10	106320	2057480	20	139450	5377260	30	34538	1994880	40	118252	9109000	50	30675	2976600	60	4198	492900	80	10137	1571920	100	35775	6821100	120	747	176760	160	1878	569920	200	2822	1079000	400	234	181200	500	1	500	1000	0	0	
599000	9998145216	88	1	0.0	130560	52712000	5.0857216E7	0.21796327212020034	0.9648128699347397	130569	32875656	0.21797829716193656	0.6236844741235392	14420	45 18 35 0 93	Base Normal	1797	9264984	0.003	0.17576612536044922	16536	20510	70 94 70 57 3	FS	38940.0	1	1734	8716576	0.0028948247078464107	0.16536227045075125	387992	88364	36089	24156	20795	17759	14887	8958	3772	3475	3133	2302	1484	806	1564	1725	1660	1459	1085	664	379	738	1011960	1370262	1641056	1537900	1203144	757638	1743024	6	36201	418146	10	106500	2060950	20	139696	5386660	30	34598	1997310	40	118451	9123840	50	30735	2983250	60	4201	493320	80	10166	1576880	100	35807	6825600	120	748	176880	160	1883	570720	200	2827	1080000	400	235	181600	500	1	500	1000	0	0	
600000	9998169760	88	1	200.0	130782	52800000	5.096976E7	0.21797	0.9653363636363637	130791	32943062	0.217985	0.6239216287878788	14420	45 18 35 0 93	Base Normal	1802	9294722	0.0030033333333333335	0.1760364015151515	16584	20510	70 94 70 57 3	FS	38940.0	1	1736	8731976	0.0028933333333333333	0.16537833333333332	388651	88491	36158	24195	20829	17787	14913	8976	3784	3481	3147	2307	1493	807	1565	1729	1665	1464	1088	665	380	739	1015580	1374198	1653408	1540790	1205964	761278	1743504	6	36255	418752	10	106736	2067110	20	139883	5395380	30	34668	2002740	40	118650	9140840	50	30810	2988800	60	4206	494460	80	10187	1580240	100	35891	6842000	120	748	176880	160	1886	571360	200	2833	1082000	400	236	182000	500	1	500	1000	0	0	
601000	9998182212	88	1	60.0	130990	52888000	5.1070212E7	0.21795341098169718	0.9656294811677507	130999	33002532	0.21796838602329452	0.624007941309938	14420	45 18 35 0 93	Base Normal	1807	9322504	0.0030066555740432613	0.1762687944335199	16640	20510	70 94 70 57 3	FS	38940.0	1	1738	8745176	0.002891846921797005	0.16535274542429285	389301	88639	36225	24227	20868	17814	14937	8989	3791	3495	3158	2315	1495	810	1576	1733	1670	1467	1091	667	382	744	1018792	1380018	1655448	1542690	1209984	766388	1749184	6	36332	419802	10	106940	2071290	20	140059	5401800	30	34731	2006190	40	118825	9153720	50	30849	2992650	60	4216	495240	80	10200	1581520	100	35972	6859700	120	748	176880	160	1889	571840	200	2838	1085800	400	238	185600	500	1	500	1000	0	0	
602000	9998198852	88	1	0.0	131183	52976000	5.1174852E7	0.21791196013289035	0.9660006795530052	131192	33052338	0.21792691029900332	0.6239115448504984	14420	45 18 35 0 93	Base Normal	1811	9339322	0.0030083056478405314	0.17629345363938387	16672	20510	70 94 70 57 3	FS	38940.0	1	1745	8783192	0.002898671096345515	0.16579568106312292	389933	88782	36288	24279	20899	17847	14963	9009	3797	3501	3166	2320	1499	813	1576	1737	1674	1470	1094	670	383	744	1021552	1380906	1658768	1547590	1212624	768698	1749184	6	36386	420228	10	107116	2074780	20	140256	5410280	30	34779	2009010	40	118978	9167960	50	30912	2998400	60	4218	495360	80	10217	1584400	100	36031	6870900	120	748	176880	160	1889	571840	200	2839	1086200	400	238	185600	500	1	500	1000	0	0	
603000	9998168090	88	1	120.0	131402	53064000	5.123209E7	0.21791376451077943	0.9654773481079452	131411	33103768	0.21792868988391376	0.6238460726669682	14420	45 18 35 0 93	Base Normal	1811	9339322	0.003003316749585406	0.17600109301974973	16672	20510	70 94 70 57 3	FS	38940.0	1	1747	8789000	0.0028971807628524046	0.1656301824212272	390589	88920	36351	24316	20931	17877	14993	9023	3797	3501	3166	2320	1499	813	1576	1737	1674	1470	1094	670	383	744	1021552	1380906	1658768	1547590	1212624	768698	1749184	6	36442	420828	10	107323	2078850	20	140460	5418620	30	34857	2012670	40	119153	9181080	50	30972	3004200	60	4224	495720	80	10232	1586160	100	36097	6881700	120	750	177120	160	1892	572320	200	2846	1088400	400	238	185600	500	1	500	1000	0	0	
604000	9998173100	88	1	0.0	131624	53152000	5.13251E7	0.2179205298013245	0.9656287627934979	131633	33167504	0.21793543046357616	0.6240123419626731	14420	45 18 35 0 93	Base Normal	1812	9342284	0.003	0.17576542745334137	16680	20510	70 94 70 57 3	FS	38940.0	1	1751	8815312	0.002899006622516556	0.16585099337748344	391271	89049	36405	24351	20955	17910	15021	9038	3800	3504	3168	2320	1499	813	1576	1738	1675	1471	1094	670	383	744	1024064	1381236	1658888	1547590	1212624	768698	1749184	6	36490	421644	10	107500	2082780	20	140727	5429680	30	34913	2016180	40	119345	9195560	50	31026	3008700	60	4229	496080	80	10248	1588800	100	36152	6899900	120	751	177240	160	1896	573440	200	2849	1091400	400	238	185600	500	1	500	1000	0	0	
605000	9998155956	88	1	0.0	131852	53240000	5.1395956E7	0.21793719008264462	0.9653635612321563	131861	33216106	0.21795206611570248	0.6238938016528925	14420	45 18 35 0 93	Base Normal	1815	9350458	0.003	0.17562843726521413	16704	20510	70 94 70 57 3	FS	38940.0	1	1753	8829392	0.0028975206611570247	0.16584132231404958	391935	89180	36467	24390	20987	17938	15046	9057	3809	3510	3170	2324	1501	814	1576	1741	1677	1473	1095	671	383	744	1025048	1383696	1661488	1547740	1214604	768698	1749184	6	36553	422316	10	107728	2086300	20	140991	5439960	30	34985	2019870	40	119536	9207360	50	31088	3014200	60	4233	497040	80	10263	1591440	100	36195	6906800	120	752	178080	160	1899	575040	200	2850	1091600	400	238	185600	500	1	500	1000	0	0	
606000	9998131654	88	1	0.0	132062	53328000	5.1459654E7	0.21792409240924093	0.9649650090009001	132071	33273468	0.21793894389438945	0.6239399189918992	14420	45 18 35 0 93	Base Normal	1815	9350458	0.002995049504950495	0.1753386213621362	16704	20510	70 94 70 57 3	FS	38940.0	1	1754	8835728	0.0028943894389438945	0.16568646864686468	392587	89334	36519	24430	21022	17963	15073	9072	3809	3510	3170	2324	1501	814	1576	1741	1677	1473	1095	671	383	744	1025048	1383696	1661488	1547740	1214604	768698	1749184	6	36616	422988	10	107936	2090460	20	141240	5449280	30	35072	2029500	40	119718	9222200	50	31144	3018000	60	4244	498480	80	10275	1593200	100	36248	6916300	120	754	178920	160	1899	575040	200	2853	1093000	400	238	185600	500	1	500	1000	0	0	
607000	9998130012	88	1	100.0	132279	53416000	5.1546012E7	0.21792257001647447	0.9649919874194998	132288	33326740	0.2179373970345964	0.6239093155608806	14420	45 18 35 0 93	Base Normal	1818	9376504	0.0029950576606260298	0.1755373670810244	16736	20510	70 94 70 57 3	FS	38940.0	1	1756	8842768	0.0028929159802306426	0.16554530477759472	393256	89489	36572	24456	21048	17989	15101	9089	3813	3514	3176	2332	1503	817	1581	1744	1680	1475	1098	673	384	748	1025608	1389186	1665608	1550640	1217940	772338	1755184	6	36665	423540	10	108107	2093820	20	141425	5456680	30	35152	2033970	40	119874	9233640	50	31214	3026750	60	4250	499200	80	10286	1594960	100	36324	6929000	120	755	179280	160	1904	576000	200	2857	1093800	400	238	185600	500	1	500	1000	0	0	
608000	9998122022	88	1	160.0	132481	53504000	5.1626022E7	0.21789638157894736	0.9649002317583733	132490	33390494	0.21791118421052633	0.6240747233851675	14420	45 18 35 0 93	Base Normal	1819	9379824	0.002991776315789474	0.1753107057416268	16744	20510	70 94 70 57 3	FS	38940.0	1	1758	8855704	0.0028914473684210525	0.16551480263157894	393900	89625	36638	24497	21091	18025	15115	9109	3814	3517	3177	2335	1503	817	1581	1745	1681	1476	1099	673	384	748	1025688	1391436	1665848	1551390	1217940	772338	1755184	6	36697	423864	10	108285	2096770	20	141636	5466220	30	35202	2037270	40	120085	9254080	50	31259	3032750	60	4258	500220	80	10308	1599360	100	36376	6938500	120	756	179760	160	1909	577600	200	2866	1098000	400	238	185600	500	1	500	1000	0	0	
609000	9998113272	88	1	0.0	132698	53592000	5.1705272E7	0.21789490968801314	0.9647945962083894	132707	33440534	0.2179096880131363	0.6239836915957606	14420	45 18 35 0 93	Base Normal	1822	9388090	0.002991789819376026	0.17517707866845797	16768	20510	70 94 70 57 3	FS	38940.0	1	1762	8876648	0.0028932676518883416	0.16563382594417078	394528	89782	36694	24536	21128	18062	15147	9123	3817	3521	3186	2342	1504	817	1581	1748	1684	1479	1101	673	384	748	1027348	1393212	1667728	1554340	1217940	772338	1755184	6	36737	424284	10	108453	2099590	20	141821	5473240	30	35293	2041980	40	120294	9268120	50	31338	3038500	60	4264	500640	80	10319	1600720	100	36417	6945800	120	756	179760	160	1914	578400	200	2873	1102200	400	239	186800	500	1	500	1000	0	0	
610000	9998159110	88	1	0.0	132926	53680000	5.183911E7	0.21791147540983608	0.9657062220566319	132935	33493240	0.21792622950819673	0.6239426229508197	14420	45 18 35 0 93	Base Normal	1826	9447662	0.0029934426229508196	0.17599966467958272	16816	20510	70 94 70 57 3	FS	38940.0	1	1766	8898208	0.0028950819672131146	0.1657639344262295	395170	89928	36748	24587	21160	18099	15170	9138	3825	3528	3193	2347	1508	820	1595	1752	1687	1482	1105	676	386	755	1030388	1395738	1674592	1558340	1225200	789740	1773664	6	36778	424680	10	108624	2102890	20	142071	5482680	30	35375	2046660	40	120493	9282720	50	31429	3044250	60	4272	501360	80	10335	1603200	100	36466	6956100	120	756	179760	160	1917	579040	200	2875	1102600	400	239	186800	500	1	500	1000	0	0	
611000	9998131680	88	1	0.0	133137	53768000	5.189968E7	0.2179001636661211	0.9652521946138968	133146	33535484	0.21791489361702127	0.6237071120368993	14420	45 18 35 0 93	Base Normal	1829	9455692	0.002993453355155483	0.17586095819074543	16840	20510	70 94 70 57 3	FS	38940.0	1	1768	8908504	0.0028936170212765957	0.16568412438625205	395872	90044	36808	24623	21183	18130	15193	9147	3831	3534	3199	2350	1511	820	1595	1755	1690	1484	1106	676	386	755	1032992	1399098	1675408	1559590	1225200	789740	1773664	6	36812	425064	10	108847	2105890	20	142311	5491940	30	35419	2049420	40	120664	9294160	50	31464	3048250	60	4276	501840	80	10352	1604720	100	36515	6964900	120	757	179880	160	1920	579520	200	2875	1102600	400	239	186800	500	1	500	1000	0	0	
612000	9998135498	88	1	0.0	133368	53856000	5.1991498E7	0.217921568627451	0.9653798648247177	133377	33593112	0.21793627450980393	0.6237580213903743	14420	45 18 35 0 93	Base Normal	1835	9469642	0.0029983660130718953	0.17583262774806893	16888	20510	70 94 70 57 3	FS	38940.0	1	1771	8928744	0.0028937908496732027	0.1657892156862745	396501	90201	36870	24667	21219	18159	15219	9164	3845	3548	3210	2355	1513	822	1595	1761	1695	1489	1110	678	387	755	1035072	1402908	1680608	1560630	1226460	790300	1773664	6	36857	425502	10	108997	2109700	20	142542	5500560	30	35488	2052630	40	120922	9315120	50	31483	3049800	60	4280	502200	80	10385	1608480	100	36575	6977300	120	759	180240	160	1924	580480	200	2881	1103800	400	239	186800	500	1	500	1000	0	0	
613000	9998160324	88	1	160.0	133589	53944000	5.2104324E7	0.21792659053833605	0.965896559394928	133598	33652028	0.21794127243066885	0.6238326412576005	14420	45 18 35 0 93	Base Normal	1837	9486592	0.0029967373572593803	0.17586000296603885	16904	20510	70 94 70 57 3	FS	38940.0	1	1778	8965704	0.0029004893964110928	0.16620391517128874	397113	90377	36932	24707	21255	18186	15247	9183	3850	3551	3213	2356	1514	823	1597	1763	1697	1490	1111	679	388	756	1035612	1408278	1680728	1563130	1227660	793520	1777664	6	36933	426408	10	109188	2113420	20	142798	5510600	30	35553	2055540	40	121133	9335240	50	31522	3053900	60	4288	503520	80	10408	1612880	100	36618	6985900	120	760	180600	160	1927	581120	200	2888	1105600	400	239	186800	500	1	500	1000	0	0	
614000	9998152872	88	1	18.0	133807	54032000	5.2184872E7	0.21792671009771988	0.9658141841871484	133816	33699760	0.2179413680781759	0.6237000296120817	14420	45 18 35 0 93	Base Normal	1840	9503392	0.0029967426710097718	0.17588451288125556	16928	20510	70 94 70 57 3	FS	38940.0	1	1782	8981720	0.0029022801302931596	0.16622964169381108	397783	90510	36994	24742	21299	18209	15272	9191	3853	3556	3217	2365	1517	823	1597	1766	1700	1493	1113	680	388	756	1037512	1410468	1685048	1566720	1232460	793520	1777664	6	36988	426900	10	109371	2117210	20	143017	5520780	30	35618	2059560	40	121319	9349720	50	31599	3060550	60	4293	504240	80	10424	1615840	100	36654	6989700	120	761	180720	160	1929	581440	200	2889	1105800	400	239	186800	500	1	500	1000	0	0	
615000	9998134154	88	1	0.0	134028	54120000	5.2254154E7	0.21793170731707318	0.9655239098300074	134037	33748970	0.21794634146341463	0.6235951589061345	14420	45 18 35 0 93	Base Normal	1843	9514664	0.0029967479674796746	0.17580679970436067	16952	20510	70 94 70 57 3	FS	38940.0	1	1783	8990520	0.002899186991869919	0.1661219512195122	398432	90667	37045	24773	21339	18241	15296	9207	3857	3565	3222	2369	1519	823	1597	1769	1703	1496	1115	681	388	756	1039232	1411158	1688568	1569470	1235052	793520	1777664	6	37022	427170	10	109564	2120720	20	143279	5531620	30	35660	2061330	40	121507	9362320	50	31659	3065550	60	4298	504660	80	10445	1618560	100	36724	6998500	120	761	180720	160	1934	582720	200	2897	1107400	400	240	187200	500	1	500	1000	0	0	
616000	9998127196	88	1	0.0	134249	54208000	5.2335196E7	0.2179366883116883	0.9654515200708382	134258	33808970	0.2179512987012987	0.6236896768004723	14420	45 18 35 0 93	Base Normal	1847	9523034	0.0029983766233766234	0.17567580430932703	16984	20510	70 94 70 57 3	FS	38940.0	1	1785	9003192	0.0028977272727272727	0.16608603896103896	399080	90809	37108	24811	21377	18275	15322	9218	3866	3576	3230	2373	1519	823	1597	1773	1707	1499	1116	681	388	756	1042192	1412958	1691728	1569920	1235052	793520	1777664	6	37084	428070	10	109719	2123480	20	143507	5541080	30	35697	2062890	40	121727	9379520	50	31719	3069950	60	4305	505200	80	10454	1619760	100	36792	7015600	120	764	181080	160	1936	583040	200	2901	1111600	400	240	187200	500	1	500	1000	0	0	
617000	9998141582	88	1	0.0	134469	54296000	5.2437582E7	0.21794003241491086	0.9657724694268455	134478	33866470	0.2179546191247974	0.6237378444084278	14420	45 18 35 0 93	Base Normal	1852	9567920	0.00300162074554295	0.1762177692647709	17048	20510	70 94 70 57 3	FS	38940.0	1	1785	9003192	0.002893030794165316	0.16581685575364669	399740	90971	37161	24848	21395	18297	15350	9238	3881	3585	3235	2378	1526	826	1617	1777	1712	1503	1119	683	390	767	1042796	1418964	1695168	1576620	1239252	798000	1797120	6	37129	428400	10	109870	2125840	20	143714	5548040	30	35811	2069760	40	121944	9397600	50	31772	3074350	60	4319	507060	80	10472	1624400	100	36847	7023200	120	765	181200	160	1941	585120	200	2909	1113800	400	240	187200	500	1	500	1000	0	0	
618000	9998155840	88	1	0.0	134690	54384000	5.253984E7	0.21794498381877023	0.9660900264783759	134699	33930800	0.21795954692556635	0.6239114445425125	14420	45 18 35 0 93	Base Normal	1852	9567920	0.0029967637540453075	0.17593262724330685	17048	20510	70 94 70 57 3	FS	38940.0	1	1791	9041120	0.0028980582524271844	0.16624595469255662	400404	91098	37219	24885	21442	18322	15373	9257	3881	3585	3235	2378	1526	826	1617	1777	1712	1503	1119	683	390	767	1042796	1418964	1695168	1576620	1239252	798000	1797120	6	37173	428910	10	110111	2132830	20	143952	5558900	30	35862	2072310	40	122109	9411800	50	31849	3084650	60	4326	507540	80	10493	1627440	100	36898	7034400	120	765	181200	160	1945	586720	200	2915	1116400	400	240	187200	500	1	500	1000	0	0	
619000	9998160604	88	1	0.0	134901	54472000	5.2632604E7	0.21793376413570276	0.9662322661183728	134910	33992940	0.21794830371567045	0.6240442796299016	14420	45 18 35 0 93	Base Normal	1852	9567920	0.0029919224555735057	0.17564840652078131	17048	20510	70 94 70 57 3	FS	38940.0	1	1797	9071744	0.002903069466882068	0.1665395799676898	401038	91240	37274	24927	21492	18356	15397	9276	3881	3585	3235	2378	1526	826	1617	1777	1712	1503	1119	683	390	767	1042796	1418964	1695168	1576620	1239252	798000	1797120	6	37245	429750	10	110252	2135670	20	144178	5566600	30	35899	2074830	40	122330	9434120	50	31902	3089450	60	4331	508320	80	10508	1629760	100	36954	7049500	120	767	181560	160	1949	588480	200	2917	1116800	400	241	187600	500	1	500	1000	0	0	
